SCG ID,Component,Title,Implementation Priority,Bridging SCF Controls,Mapped Framework Controls
vm-9.isolation-device-connectable-deactivate,ESX,"Virtual machines must prevent unauthorized removal, connection, and modification of devices.",P2,"CFG-03, IAC-21","T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.004, T1021.005, T1021.006, T1021.007, T1021.008, T1025, T1027, T1036, T1036.003, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1041, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.003, T1053.005, T1053.006, T1053.007, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1056.003, T1059, T1059.001, T1059.002, T1059.003, T1059.004, T1059.005, T1059.006, T1059.007, T1059.008, T1059.009, T1059.010, T1059.011, T1068, T1070, T1070.001, T1070.002, T1070.003, T1070.007, T1070.008, T1070.009, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.001, T1078.002, T1078.003, T1078.004, T1080, T1087, T1087.001, T1087.002, T1087.004, T1090, T1090.001, T1090.002, T1090.003, T1091, T1092, T1095, T1098, T1098.001, T1098.002, T1098.003, T1098.004, T1098.005, T1098.006, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1112, T1127, T1127.002, T1129, T1133, T1134, T1134.001, T1134.002, T1134.003, T1134.005, T1135, T1136, T1136.001, T1136.002, T1136.003, T1137, T1137.001, T1137.002, T1137.003, T1137.004, T1137.005, T1137.006, T1176, T1185, T1187, T1189, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1200, T1203, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1211, T1212, T1213, T1213.001, T1213.002, T1213.003, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1222, T1222.001, T1222.002, T1482, T1484, T1485, T1485.001, T1486, T1489, T1490, T1491, T1491.001, T1491.002, T1495, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505, T1505.002, T1505.003, T1505.004, T1505.005, T1525, T1528, T1530, T1537, T1538, T1539, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1543, T1543.001, T1543.002, T1543.003, T1543.004, T1543.005, T1546, T1546.002, T1546.003, T1546.004, T1546.006, T1546.008, T1546.009, T1546.010, T1546.011, T1546.013, T1546.016, T1547.003, T1547.004, T1547.006, T1547.007, T1547.009, T1547.012, T1547.013, T1548, T1548.001, T1548.002, T1548.003, T1548.004, T1548.005, T1548.006, T1550, T1550.002, T1550.003, T1552, T1552.001, T1552.002, T1552.003, T1552.005, T1552.006, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555, T1555.002, T1555.004, T1555.006, T1556, T1556.001, T1556.002, T1556.003, T1556.004, T1556.005, T1556.006, T1556.007, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1558, T1558.001, T1558.002, T1558.003, T1558.005, T1559, T1559.001, T1559.002, T1559.003, T1561, T1561.001, T1561.002, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.007, T1562.008, T1562.009, T1562.010, T1562.012, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1566.003, T1567, T1569, T1569.001, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.004, T1574.005, T1574.006, T1574.007, T1574.008, T1574.009, T1574.010, T1574.011, T1574.012, T1574.014, T1578, T1578.001, T1578.002, T1578.003, T1578.005, T1580, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1606, T1606.001, T1606.002, T1609, T1610, T1611, T1612, T1613, T1619, T1621, T1622, T1647, T1648, T1651, T1653, T1654, T1657"
vm-9.isolation-tools-dnd-deactivate,ESX,Virtual machines must have console drag and drop operations deactivated.,P2,"CFG-03, SEA-05","T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1070, T1070.001, T1070.002, T1070.008, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1119, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.001, T1552.002, T1552.003, T1552.004, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1558, T1558.002, T1558.003, T1558.004, T1558.005, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.001, T1565.002, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1595.003, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
vm-9.limit-console-connections,ESX,Virtual machines must limit console sharing.,P0,IAC-23,"T1137, T1137.002, T1185, T1528"
vm-9.limit-setinfo-size,ESX,Virtual machines must limit informational messages from the virtual machine to the VMX file.,P2,CAP-02,T1564.009
vm-9.pci-passthrough,ESX,Virtual machines must limit PCI device passthrough functionality.,P2,"CFG-03, IAC-21","T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.004, T1021.005, T1021.006, T1021.007, T1021.008, T1025, T1027, T1036, T1036.003, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1041, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.003, T1053.005, T1053.006, T1053.007, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1056.003, T1059, T1059.001, T1059.002, T1059.003, T1059.004, T1059.005, T1059.006, T1059.007, T1059.008, T1059.009, T1059.010, T1059.011, T1068, T1070, T1070.001, T1070.002, T1070.003, T1070.007, T1070.008, T1070.009, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.001, T1078.002, T1078.003, T1078.004, T1080, T1087, T1087.001, T1087.002, T1087.004, T1090, T1090.001, T1090.002, T1090.003, T1091, T1092, T1095, T1098, T1098.001, T1098.002, T1098.003, T1098.004, T1098.005, T1098.006, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1110, T1110.001, T1110.002, T1110.003, T1110.004, T1112, T1127, T1127.002, T1129, T1133, T1134, T1134.001, T1134.002, T1134.003, T1134.005, T1135, T1136, T1136.001, T1136.002, T1136.003, T1137, T1137.001, T1137.002, T1137.003, T1137.004, T1137.005, T1137.006, T1176, T1185, T1187, T1189, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1200, T1203, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1211, T1212, T1213, T1213.001, T1213.002, T1213.003, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1222, T1222.001, T1222.002, T1482, T1484, T1485, T1485.001, T1486, T1489, T1490, T1491, T1491.001, T1491.002, T1495, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505, T1505.002, T1505.003, T1505.004, T1505.005, T1525, T1528, T1530, T1537, T1538, T1539, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1543, T1543.001, T1543.002, T1543.003, T1543.004, T1543.005, T1546, T1546.002, T1546.003, T1546.004, T1546.006, T1546.008, T1546.009, T1546.010, T1546.011, T1546.013, T1546.016, T1547.003, T1547.004, T1547.006, T1547.007, T1547.009, T1547.012, T1547.013, T1548, T1548.001, T1548.002, T1548.003, T1548.004, T1548.005, T1548.006, T1550, T1550.002, T1550.003, T1552, T1552.001, T1552.002, T1552.003, T1552.005, T1552.006, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555, T1555.002, T1555.004, T1555.006, T1556, T1556.001, T1556.002, T1556.003, T1556.004, T1556.005, T1556.006, T1556.007, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1558, T1558.001, T1558.002, T1558.003, T1558.005, T1559, T1559.001, T1559.002, T1559.003, T1561, T1561.001, T1561.002, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.007, T1562.008, T1562.009, T1562.010, T1562.012, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1566.003, T1567, T1569, T1569.001, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.004, T1574.005, T1574.006, T1574.007, T1574.008, T1574.009, T1574.010, T1574.011, T1574.012, T1574.014, T1578, T1578.001, T1578.002, T1578.003, T1578.005, T1580, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1606, T1606.001, T1606.002, T1609, T1610, T1611, T1612, T1613, T1619, T1621, T1622, T1647, T1648, T1651, T1653, T1654, T1657"
vm-9.persistent-disk,ESX,"Virtual machines must not use independent, nonpersistent disks.",P2,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
vm-9.remove-unnecessary-devices,ESX,Virtual machines must remove unnecessary virtual hardware.,P0,"CFG-03, END-12","T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1025, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1091, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1200, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
vm-9.restrict-host-info,ESX,Virtual machines must not be able to obtain host information from the hypervisor.,P2,CFG-03,"T1003, T1003.001, T1003.002, T1003.005, T1008, T1011, T1011.001, T1020.001, T1021, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1021.008, T1027, T1036, T1036.005, T1036.007, T1036.008, T1037, T1037.001, T1040, T1046, T1047, T1048, T1048.001, T1048.002, T1048.003, T1052, T1052.001, T1053, T1053.002, T1053.005, T1059, T1059.005, T1059.007, T1059.009, T1059.010, T1068, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1072, T1078, T1078.004, T1080, T1087, T1087.001, T1087.002, T1090, T1090.001, T1090.002, T1090.003, T1092, T1095, T1098, T1098.001, T1098.004, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1106, T1112, T1127, T1127.002, T1129, T1133, T1135, T1136, T1136.002, T1136.003, T1176, T1187, T1190, T1195, T1195.001, T1195.002, T1197, T1199, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1210, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1216, T1216.001, T1216.002, T1218, T1218.001, T1218.002, T1218.003, T1218.004, T1218.005, T1218.007, T1218.008, T1218.009, T1218.012, T1218.013, T1218.014, T1218.015, T1219, T1220, T1221, T1482, T1484, T1489, T1490, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1525, T1530, T1537, T1542.004, T1542.005, T1543, T1546.002, T1546.006, T1546.008, T1546.009, T1546.010, T1547.004, T1547.006, T1547.007, T1547.009, T1548, T1548.001, T1548.003, T1548.004, T1548.006, T1552, T1552.003, T1552.005, T1552.007, T1553, T1553.001, T1553.003, T1553.004, T1553.005, T1553.006, T1555.004, T1555.006, T1556, T1556.002, T1556.008, T1556.009, T1557, T1557.001, T1557.002, T1557.003, T1559, T1559.002, T1559.003, T1562, T1562.001, T1562.002, T1562.003, T1562.004, T1562.006, T1562.009, T1562.010, T1563, T1563.001, T1563.002, T1564.002, T1564.003, T1564.006, T1564.008, T1564.009, T1565, T1565.003, T1569, T1569.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.001, T1574.006, T1574.007, T1574.008, T1574.009, T1574.012, T1574.014, T1590.002, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1610, T1611, T1612, T1613, T1622, T1647, T1648, T1653"
vm-9.transparentpagesharing-inter-vm-enabled,ESX,Virtual machines must restrict sharing of memory pages between VMs.,P2,SEA-05,"T1020.001, T1040, T1070, T1070.001, T1070.002, T1070.008, T1080, T1119, T1530, T1552, T1552.001, T1552.002, T1552.004, T1557, T1557.002, T1558, T1558.002, T1558.003, T1558.004, T1558.005, T1564.009, T1565, T1565.001, T1565.002, T1565.003, T1595.003, T1602, T1602.001, T1602.002"
vm-9.virtual-hardware,ESX,Virtual machines must use a minimum supported virtual hardware version.,P1,VPM-05,"T1003, T1003.001, T1027, T1027.002, T1027.007, T1027.008, T1027.009, T1047, T1055, T1055.001, T1055.002, T1055.003, T1055.004, T1055.005, T1055.008, T1055.009, T1055.011, T1055.012, T1055.013, T1055.014, T1059, T1059.001, T1059.005, T1059.006, T1068, T1072, T1106, T1137, T1137.003, T1137.004, T1137.005, T1189, T1190, T1195, T1195.001, T1195.002, T1195.003, T1203, T1204, T1204.001, T1204.003, T1210, T1211, T1212, T1213.003, T1213.005, T1221, T1495, T1525, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1546, T1546.006, T1546.010, T1546.011, T1546.016, T1547.006, T1548, T1548.002, T1548.006, T1550.002, T1552, T1552.006, T1553, T1553.006, T1555, T1555.005, T1559, T1559.002, T1566, T1566.001, T1566.003, T1574, T1574.002, T1574.013, T1601, T1601.001, T1601.002, T1606, T1606.001, T1611"
vm-9.vmotion-encrypted,ESX,Virtual machines must require encryption for vMotion.,P1,"CRY-03, CRY-04","T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
vm-9.vmrc-lock,ESX,Virtual machines must be configured to lock when the last console connection is closed.,P0,IAC-24,"T1021.001, T1563.002"
vsan-9.auto-policy-management,vSAN,vSAN automatic policy management must remain disabled.,P2,CHG-02,"T1021.005, T1059.006, T1176, T1195, T1195.003, T1213, T1213.001, T1213.002, T1213.005, T1495, T1542, T1542.001, T1542.003, T1542.004, T1542.005, T1543, T1543.002, T1546, T1547.007, T1547.013, T1548, T1553, T1553.006, T1555, T1556.008, T1562.008, T1562.012, T1564.008, T1578.005, T1601, T1601.001, T1601.002, T1647, T1653, T1666"
vsan-9.encryption-rest,vSAN,vSAN must protect data at rest.,P0,CRY-05,"T1003, T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003.007, T1003.008, T1005, T1025, T1041, T1048, T1048.002, T1048.003, T1052, T1052.001, T1078, T1078.001, T1078.003, T1078.004, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1530, T1550.001, T1552, T1552.001, T1552.002, T1552.003, T1552.004, T1565, T1565.001, T1565.003, T1567, T1599, T1599.001, T1602, T1602.001, T1602.002"
vsan-9.encryption-transit-esa,vSAN,vSAN must protect data in transit between hosts.,P2,"CRY-03, CRY-04","T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
vsan-9.encryption-transit-osa,vSAN,vSAN must protect data in transit between hosts.,P0,"CRY-03, CRY-04","T1020.001, T1040, T1090, T1090.004, T1550.001, T1550.004, T1552.007, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1562, T1562.006, T1562.009, T1562.010, T1602, T1602.001, T1602.002, T1622"
vsan-9.file-services-access-control-nfs,vSAN,NFS file shares on vSAN File Services must be configured to restrict access.,"P0, Upon Feature Enablement",NET-04,"T1001, T1001.001, T1001.002, T1001.003, T1003, T1003.001, T1003.005, T1003.006, T1008, T1020.001, T1021.001, T1021.002, T1021.003, T1021.005, T1021.006, T1029, T1030, T1041, T1046, T1048, T1048.001, T1048.002, T1048.003, T1068, T1070.008, T1071, T1071.001, T1071.002, T1071.003, T1071.004, T1071.005, T1072, T1090, T1090.001, T1090.002, T1090.003, T1095, T1098, T1098.001, T1098.007, T1102, T1102.001, T1102.002, T1102.003, T1104, T1105, T1114, T1114.001, T1114.002, T1114.003, T1132, T1132.001, T1132.002, T1133, T1134.005, T1136, T1136.002, T1136.003, T1187, T1189, T1190, T1197, T1199, T1203, T1204, T1204.001, T1204.002, T1204.003, T1205, T1205.001, T1205.002, T1210, T1211, T1212, T1213, T1213.001, T1213.002, T1213.004, T1213.005, T1218, T1218.012, T1219, T1482, T1484, T1489, T1498, T1498.001, T1498.002, T1499, T1499.001, T1499.002, T1499.003, T1499.004, T1505.004, T1528, T1530, T1537, T1547.003, T1552, T1552.001, T1552.005, T1552.007, T1552.008, T1557, T1557.001, T1557.002, T1557.003, T1557.004, T1559, T1559.001, T1559.002, T1563, T1563.002, T1564.008, T1565, T1565.003, T1566, T1566.001, T1566.002, T1566.003, T1567, T1567.001, T1567.002, T1567.003, T1567.004, T1568, T1568.002, T1570, T1571, T1572, T1573, T1573.001, T1573.002, T1574, T1574.004, T1574.005, T1574.007, T1574.008, T1574.009, T1574.010, T1590.002, T1598, T1598.001, T1598.002, T1598.003, T1599, T1599.001, T1601, T1601.001, T1601.002, T1602, T1602.001, T1602.002, T1609, T1611, T1622, T1654, T1659"
